t,cpu,ram,disk,err5xx,latency_ms,anomaly_score,is_anomaly
0,25.60943415950886,39.32207353021974,55.126602255147674,0.0,76.70468493637395,-0.14500273869779795,False
1,23.020025120985675,39.05118111853668,55.45260920111309,0.0,79.02840823081856,-0.16509644445320365,False
2,26.700849062546084,40.75099621768542,55.146660628268435,0.0,83.93859494968183,-0.16923529768267492,False
3,27.180949465179648,40.52771913075454,56.134415833207214,1.0,78.60861686994573,-0.1139286414239149,False
4,21.49750309253819,38.09266456335469,55.734893726235214,0.0,81.83825426614014,-0.15722141746777363,False
5,22.894808069509505,41.93372813044654,54.87123611764149,0.0,81.05780208317452,-0.12156861633276744,False
6,25.854241842779167,40.15820838691424,54.870986283096464,0.0,79.05413554589171,-0.13698780081854695,False
7,25.065230388534015,38.68280991586837,55.269848359742674,0.0,79.44451872336946,-0.1496875703302753,False
8,25.76298871806265,42.181992039397755,54.620990409787154,0.0,82.94171162534013,-0.12546852996499036,False
9,24.18906001198196,41.38682775481502,55.62814415326625,0.0,78.07914076240085,-0.17040096244258712,False
10,27.75214260370096,38.60087541015837,55.23080026092179,0.0,84.01089481705529,-0.15395263288264072,False
11,27.646731986262246,43.21269841554916,55.18322945542926,0.0,80.53385738344552,-0.1620862732367584,False
12,26.320574527258103,41.584204044934474,55.403476833885414,0.0,83.14464313002827,-0.17844639964664166,False
13,28.539885173396843,40.629632102226886,55.92641494168453,1.0,88.384723598604,-0.11257683682536268,False
14,27.31679692732466,43.07899362533556,55.15547767609375,0.0,82.3883977823814,-0.16675398944676584,False
15,24.759016107540223,40.981158553508024,55.01847981456431,0.0,86.95116432872949,-0.14018895678836496,False
16,27.310334371245585,40.74842756077456,55.83435981166129,0.0,76.3129808393098,-0.16728255430002742,False
17,24.749670259046077,39.84822270232194,55.56877520799557,1.0,81.80710650612458,-0.10837146304383632,False
18,28.518271768989997,41.75933627894464,54.92951007980814,0.0,84.0049379073908,-0.16241046021594907,False
19,26.754750525092405,41.64910655346077,55.09759322432951,0.0,91.79120802790632,-0.14885968750166284,False
20,26.57736698445273,41.003604300223024,55.1976904579694,0.0,76.459755302244,-0.15090212008497528,False
21,25.676943176489967,39.843713891564946,55.285906472302486,0.0,84.11427935798889,-0.16680868851612018,False
22,29.57478000267806,41.27041179403496,54.43170007453044,1.0,90.52320768386707,-0.03134750494301497,False
23,26.910681570689995,41.01734367675193,54.343757696099225,0.0,81.75138499352286,-0.1032714003493107,False
24,26.4522402333812,39.16804354882465,54.67630498899877,0.0,84.23271026761033,-0.11911216008272407,False
25,26.692860592044557,39.006425163697095,54.64263077849433,0.0,86.60110979794082,-0.11638139110592766,False
26,28.54901906032538,42.10742516832607,54.80808799301375,1.0,86.199672007772,-0.0794152296516557,False
27,28.301568086993722,37.402064129756155,55.452355321045,0.0,91.90950663576801,-0.11115554137553063,False
28,28.481396212796394,41.65785143210989,55.05553542183763,0.0,87.6223186721648,-0.16526986460278786,False
29,28.601761689975135,40.677075176483214,55.243197302505095,0.0,91.31863559650063,-0.16048199766318821,False
30,32.1065075687161,43.400646526132476,54.537848294978865,0.0,84.74366460145772,-0.06812653868358864,False
31,27.092345769917294,40.74175164274637,54.92417889853953,0.0,83.39469684957365,-0.15885575330177948,False
32,26.961491748668884,42.51444597417174,55.45362883087242,0.0,85.62386715580475,-0.1755177744299406,False
33,26.438038803371413,40.97269092493529,55.4624762290884,0.0,82.05708602903425,-0.1803045080178446,False
34,29.375923965243334,41.781090388411094,54.807713085906045,0.0,88.79097836668026,-0.14310704669564994,False
35,30.47903302163024,42.75768208404098,55.25583119318977,0.0,85.47346631044637,-0.15617990801116077,False
36,28.069028444547616,41.00009384569823,56.27942392674117,0.0,84.48640530908533,-0.19054467275158116,False
37,26.69112660421567,43.229789354954335,55.17620103537218,0.0,89.32123434157225,-0.15618493677820117,False
38,26.79564479417028,40.28495789921653,54.843406526928774,0.0,82.90115945975232,-0.15216492871308196,False
39,29.817582671651454,42.257448481045685,55.108118805318924,0.0,90.70376158456158,-0.15831768247100236,False
40,30.0732887969045,43.239068993390994,55.24608855376342,1.0,85.85036965904116,-0.07882812606513823,False
41,29.742037685244867,42.8842005426549,55.12941580965472,0.0,92.53823769561025,-0.14591290627811104,False
42,27.39219618527691,44.80732037681619,55.19432264966175,0.0,86.46513232402584,-0.12525059529974963,False
43,29.253535460609825,40.825466006844984,54.49327660153158,0.0,90.69398374832375,-0.11056043269736965,False
44,29.0870660127763,39.939325643728516,54.73868476245703,0.0,89.0108244252827,-0.12507983443131016,False
45,29.354011741595443,40.55341361732732,55.15033238146425,0.0,91.39031734293692,-0.15292194700495032,False
46,30.72086565607821,43.07187887006001,55.147366014988776,0.0,88.9724770932885,-0.14544545421554567,False
47,29.484981599574937,42.86382005990756,54.95190536257,0.0,81.99286605150405,-0.14811009042438167,False
48,30.45378496764878,42.30545326216969,55.15149320696178,1.0,92.79112635506878,-0.057685903461984434,False
49,29.287644991437634,40.50216753032829,55.2755074277071,0.0,88.51039325641689,-0.1704551646423373,False
50,29.78559372141945,43.370831499581705,55.69470672826226,0.0,92.1199863197188,-0.14345644380578354,False
51,30.523116561423894,40.41678404894507,55.20539413238698,0.0,91.81927952344924,-0.13708078436127935,False
52,26.39770949650536,44.02495019230687,55.45955160264912,0.0,86.05700625026796,-0.15026701314048335,False
53,28.722434979010327,46.604732925413515,54.99419984928304,0.0,85.57839068448035,-0.0727492059585233,False
54,28.469043725839146,42.899657448739774,55.55604786179924,0.0,91.94181126546827,-0.16383579990964658,False
55,28.178281103820495,43.25539561323344,55.46286514880617,0.0,88.18561082377485,-0.1740118862417243,False
56,28.950217708429157,41.671535137739895,55.71290850158991,0.0,93.21789904464539,-0.1495476433460668,False
57,32.53305010304821,39.724926532737896,55.64173023122224,1.0,88.82827571247674,-0.046353085039017805,False
58,27.852353312472346,41.56491136254442,55.58436781144057,0.0,93.69890470057345,-0.1482576328309892,False
59,31.559586771223064,40.8577056233702,55.24579129567111,0.0,91.35792648863169,-0.1332418878251443,False
60,26.29445588660452,40.353906089801164,55.42246961352223,0.0,90.87127898848972,-0.16002279753223408,False
61,29.025726721623787,45.134616127233784,55.83675446422576,0.0,88.27320518468481,-0.1249439910478522,False
62,30.054426127457706,42.98632463521724,54.9839627152986,0.0,90.7440072794556,-0.14596891503805998,False
63,30.932896370671138,43.17180104770303,55.000796110651564,0.0,94.62590815969544,-0.09188047620217243,False
64,31.212532461031834,42.1632521116357,55.41071569897518,0.0,89.67296972374754,-0.15435914640470333,False
65,31.404485397485818,42.391265372619955,55.53263984513273,0.0,92.0449799251951,-0.1406520981408541,False
66,29.14612535609445,44.12044810354331,54.917946750367996,0.0,90.13127434434938,-0.1270505957880818,False
67,28.942719123147462,42.64742383043197,55.29761871829335,0.0,90.46489077835771,-0.17092867914726328,False
68,31.60527477469089,43.51352899182924,55.29300061288561,0.0,96.87583668983561,-0.055385279896431494,False
69,29.526659002098565,42.44428537401404,54.23735994219826,0.0,94.7999035654512,-0.04406733782433214,False
70,27.375876003266455,42.24510560166319,55.240203005370624,0.0,90.3164538777239,-0.1674363071935182,False
71,27.676684386251637,40.66724061992484,55.276341083575765,0.0,90.85757264944485,-0.16843769286673999,False
72,28.11838716895521,39.829493664350984,55.27985352858849,0.0,87.18825401621118,-0.17664462120672708,False
73,30.963663305165753,42.421503114616804,56.07295713728863,0.0,89.29489361525968,-0.15765461612364967,False
74,30.26425569482933,42.915538106734445,54.76210085074556,0.0,91.21048318025618,-0.12336960296692245,False
75,31.36844564115581,40.91775880300357,54.96268871439769,0.0,93.35653393579416,-0.09476096738172518,False
76,29.13904542720485,42.8106115476267,54.073902100840336,0.0,92.9272353200487,-0.06732416734593838,False
77,30.314708535180824,42.95752760522399,55.14454166691293,1.0,85.46468398807795,-0.08103517527057724,False
78,31.250889389084502,39.65666254716251,55.192178222937,0.0,93.77613007654584,-0.10283260658012683,False
79,29.381095153053224,41.530960415978136,55.14001141183287,0.0,89.47471039422837,-0.16065684579574668,False
80,30.911418490322347,43.52670954469315,55.95383866974188,0.0,85.83859162194821,-0.14699267173784536,False
81,28.67009683521932,43.50775816757359,55.835308761168484,0.0,95.08401525850964,-0.11596122644536971,False
82,29.261924213465726,41.207200984293834,55.44892836213365,0.0,95.53870263365732,-0.12223026770764,False
83,29.216644161586025,43.185112707457435,55.22969347323007,0.0,90.68290210506854,-0.16216084427672633,False
84,27.578536719812302,44.48996002800609,55.933094834053435,1.0,92.40066178246461,-0.044451472297655226,False
85,30.932269013833505,44.13004599761022,55.41512107008207,0.0,92.56813390587774,-0.10938829384791504,False
86,29.00564414961806,42.828771812222975,55.02086498054077,0.0,95.00958503440329,-0.11643697422524774,False
87,29.953584131633143,42.27617450312633,54.57687566125772,0.0,92.26227500873647,-0.10469391043503301,False
88,30.87226490349991,42.03973348530341,55.21934275305215,0.0,83.95813518672065,-0.14798486185235354,False
89,30.784045386100114,43.690262324544236,55.8223218085863,0.0,97.22242964139664,-0.06831854831433748,False
90,31.20000837233655,43.28514091952649,56.58826934477155,0.0,93.355601826177,-0.11690040868672091,False
91,29.648574675383436,43.93971205201733,55.48580517309474,2.0,86.96016289703245,0.01674553568690762,True
92,28.973318356673936,43.19570575206962,55.07732224243985,0.0,84.78060147637515,-0.1651359359556464,False
93,29.632919993581773,44.22749721808923,54.8725173958579,1.0,90.81480309779195,-0.035801616090999744,False
94,26.388212103441916,43.14186321833375,55.7459774481528,0.0,87.57461353064384,-0.1636484965042005,False
95,26.837275493590898,44.17679731248616,54.59269197380787,0.0,89.89544938524689,-0.09091596421214942,False
96,27.05282814371782,44.30495496467447,55.75517255070244,2.0,91.43267499477253,0.036874135107414996,True
97,27.66858141490804,41.79005447590237,55.89385580313146,0.0,86.07268260251207,-0.18144868825640426,False
98,30.425606057387718,40.281919525534526,55.70813972661644,0.0,83.74930312489107,-0.15681246538101928,False
99,27.776231665688925,45.30583436938358,55.38516916403072,0.0,89.62823790968382,-0.1175978189407747,False
100,28.79016202604963,43.37121196932369,55.78247032677341,1.0,85.81864914912259,-0.10517555276329438,False
101,32.102422553185264,40.40929433047456,55.59046918556415,0.0,88.3998933941702,-0.13109563751526065,False
102,28.74711531264405,41.90426518552933,55.1209380790697,0.0,82.30165483199148,-0.16866597416241857,False
103,30.888567891014045,44.12595075933793,56.44020616118751,0.0,86.52189006252068,-0.13701694981785129,False
104,27.49842953751783,42.54094449945005,55.344160310194745,1.0,90.24237023302783,-0.08422978506301027,False
105,28.90517171750911,42.183865711643115,55.91287615022495,0.0,89.65458884797044,-0.17579996842966927,False
106,27.36465829794322,45.043958756255655,54.320692858652144,0.0,83.92215243487172,-0.04568771564631602,False
107,28.5335860063821,41.36156599141659,56.17323544139046,0.0,82.24375837014976,-0.18478580749989054,False
108,30.837533578808205,41.724312856002335,56.27438187232729,0.0,86.81768656451868,-0.1621190445172525,False
109,25.64587889172217,43.226857265942336,55.55991689356332,0.0,88.83324346830005,-0.1552040367751899,False
110,29.911329306189664,43.482886359353316,55.82938551736888,0.0,88.04103956699846,-0.15784529598436287,False
111,29.458298565844988,43.628340160437,55.83425759080378,0.0,84.19975594748065,-0.16147698177385317,False
112,27.73327971402851,44.23650327930652,55.23860821517964,0.0,87.26466391322745,-0.1471381824898062,False
113,25.96664760132372,43.15253764150644,55.83856115271967,0.0,91.90475977700453,-0.14087293235641457,False
114,28.93866255633235,43.572976171469854,55.16568476506372,0.0,86.53497723158858,-0.1629873471318986,False
115,27.669540642755997,42.433528361515364,55.27062153817734,0.0,78.99804552048013,-0.1681708263766279,False
116,29.126509642860665,42.899047726957946,56.14347157160615,0.0,86.15694633105599,-0.17962994405241,False
117,28.636028256392517,42.94818041509206,56.0723288453501,0.0,93.33084160306508,-0.15097546068343976,False
118,31.72561161149271,43.09063110647264,55.23681224894211,0.0,79.81377362428572,-0.11224485552598895,False
119,27.971663662838633,43.90712950523136,55.22821182824948,0.0,84.88810775290501,-0.1585777743353754,False
120,26.330320917512026,43.56061080339429,55.277201698771165,0.0,83.66738453422958,-0.15748184282649863,False
121,28.661457276308635,42.77303254113175,55.971319783232744,0.0,84.75751722072562,-0.18372123738109675,False
122,28.66716835961538,41.47108097001265,55.1100076095948,1.0,84.95009320961282,-0.09020384027342238,False
123,30.868528300460333,42.76359399299419,55.793356319517976,0.0,88.5300110569092,-0.15722154544522576,False
124,29.742093780857715,42.59663813550907,55.993423405317145,1.0,84.10433429997691,-0.10539863524118626,False
125,28.706102838818804,42.904281944043596,55.58087727485345,1.0,88.66745814285885,-0.10384319127328279,False
126,30.838259030059533,45.899416060657224,56.13503184843247,3.0,82.87925886641312,0.07797720136395725,True
127,25.45225504359781,41.778368133269986,55.4828449152551,0.0,81.73914179881453,-0.17542330869787576,False
128,26.46727411663614,43.171147817585876,55.533072199503046,0.0,80.25121395586497,-0.16448782701351894,False
129,25.809522654967054,44.11338947326194,55.156376884434074,0.0,75.44640892514222,-0.11571267246755274,False
130,26.797887252795785,42.62998392752696,56.1585886738101,0.0,83.60335327733699,-0.18507172989151827,False
131,24.737935916946576,45.96134371812394,55.271739776510564,1.0,90.50046474202993,-8.09618150934277e-05,False
132,28.674414968572048,41.85843027386155,55.83488590885753,0.0,83.90051337205227,-0.18380118650888688,False
133,26.87151093045418,42.88186248562459,55.62934196643703,0.0,84.5966477733939,-0.1773149869917487,False
134,24.285260633704038,41.16709401071414,55.14360846844417,0.0,79.97870657658186,-0.1592501631773272,False
135,25.105741238754067,41.80693248794883,55.37044842808834,0.0,80.433866515504,-0.1700942523432401,False
136,27.67309854326048,42.67588903954715,56.37143611952037,0.0,85.12943737764012,-0.18031241552956245,False
137,28.630677030281024,43.53957328545879,55.78582877131724,0.0,89.00472926872138,-0.16538765082810392,False
138,30.85545698050885,42.71575788756552,55.185424829316574,1.0,86.70035076373654,-0.07302725265488785,False
139,32.596546658520374,44.09216494843969,55.84766414367434,0.0,83.74777220888501,-0.09346900366353267,False
140,27.503759617331518,42.02680967932597,55.62694298420273,0.0,80.4453705426319,-0.17702503306130135,False
141,24.60131358102154,41.63616726361403,57.43202320112209,1.0,80.92146792060234,-0.11636291892366052,False
142,22.221114195071543,46.15496725171279,55.852561920671135,0.0,76.84634623965864,-0.07778644099541199,False
143,26.924852553770606,42.6543325582103,55.524687576466825,0.0,73.84555763352402,-0.15041454851327873,False
144,24.667214557684904,40.94716722268563,56.430013958893554,0.0,74.90906513468444,-0.18266260578608318,False
145,25.36553212571054,40.947844482933405,54.80448191635358,0.0,79.39377780631378,-0.12865095772999235,False
146,24.87472446300597,40.53751828524958,55.77716007819055,0.0,77.80532544807664,-0.17609951266802126,False
147,25.719568150776084,43.3181481401887,56.732214247340536,0.0,72.87475149466228,-0.15749835826625486,False
148,28.03494180104645,41.3279526581379,55.681900357820126,0.0,78.38306463208768,-0.1716417325464102,False
149,26.11854870972797,42.02626611447946,54.87834947767596,0.0,77.03920141675162,-0.12882228192543133,False
150,25.38833036622196,41.700153420654466,55.5520410177947,0.0,73.40292495010883,-0.1606134213289469,False
151,23.535158769501525,42.852350360298146,56.48225902047952,1.0,76.39594302302771,-0.11169194741818506,False
152,22.157724042174298,40.44420340537972,55.948034798160386,0.0,76.37623427717986,-0.16950223111386487,False
153,24.434894940654683,40.05969272295973,55.34557194524374,0.0,74.97804042003382,-0.15858409610737306,False
154,25.200203485512926,41.96776399474168,55.42737859641049,1.0,80.93707421795945,-0.09474829721358291,False
